date,rno,rname,nichime,kimarite,wdir,wspd,santan,payout,ninki,win_course,win_teiban,zenzuke
2025-08-30,10,戸田特賞,3,まくり差し,西,5,6-1-2,6270,20,5,6,0
2025-08-30,11,戸田特選,3,逃げ,無,0,1-3-6,870,1,1,1,0
2025-08-30,12,記者選抜戦,3,抜き,南東,3,4-1-5,1120,3,4,4,0
2025-08-31,1,一般戦,4,抜き,南東,2,3-6-4,19240,78,3,3,0
2025-08-31,2,一般戦,4,逃げ,南東,3,1-2-4,990,1,1,1,0
2025-08-31,3,一般戦,4,逃げ,南東,5,1-6-4,12190,33,1,1,0
2025-08-31,4,一般戦,4,まくり,南,4,4-5-2,9740,41,4,4,0
2025-08-31,5,ウインウイン,4,逃げ,南東,4,1-3-4,1480,7,1,1,0
2025-08-31,6,一般戦,4,まくり差し,南東,3,3-1-4,4440,16,3,3,0
2025-08-31,7,ウインウイン,4,抜き,南東,4,1-4-5,1450,6,1,1,0
2025-08-31,8,一般戦,4,抜き,南東,5,1-2-3,2240,8,1,1,0
2025-08-31,9,戸田特選,4,逃げ,南東,5,1-5-2,13120,41,1,1,0
2025-08-31,10,選抜戦,4,逃げ,南東,4,1-2-6,2300,8,1,1,0
2025-08-31,11,選抜戦,4,逃げ,南東,4,1-6-5,1890,5,1,1,0
2025-08-31,12,優勝戦,4,逃げ,南,4,1-4-2,1050,3,1,1,0
2025-09-10,1,予選,1,逃げ,北東,2,1-3-2,1920,4,1,1,0
2025-09-10,2,予選,1,逃げ,無,0,1-2-6,6820,30,1,1,0
2025-09-10,3,予選,1,まくり,北東,5,5-2-4,7870,32,5,5,0
2025-09-10,4,予選,1,抜き,東,5,3-5-1,33350,101,3,3,0
2025-09-10,5,ウインウイン,1,逃げ,東,3,2-1-6,21190,48,1,2,0
2025-09-10,6,予選,1,まくり,東,6,2-3-4,1200,1,3,2,1
2025-09-10,7,ウインウイン,1,まくり,東,6,3-5-1,19960,43,3,3,0
2025-09-10,8,予選,1,抜き,東,6,1-5-2,9100,34,1,1,0
2025-09-10,9,戸田特賞,1,抜き,東,6,1-5-3,1160,3,1,1,0
2025-09-10,10,戸田特賞,1,逃げ,東,6,1-3-4,2990,9,1,1,0
2025-09-10,11,記者選抜戦,1,逃げ,東,6,1-6-4,2870,9,1,1,0
2025-09-10,12,戸田選抜戦,1,まくり差し,東,6,5-3-6,21440,67,5,5,0
2025-09-11,1,予選,2,逃げ,北西,3,1-3-2,1740,4,1,1,0
2025-09-11,2,予選,2,差し,北西,3,4-6-1,3950,15,4,4,0
2025-09-11,3,予選,2,差し,北西,1,6-1-2,20710,84,6,6,0
2025-09-11,4,予選,2,まくり,北東,2,3-4-6,3200,10,3,3,0
2025-09-11,5,ウインウイン,2,差し,北東,3,6-3-4,44240,83,6,6,0
2025-09-11,6,予選,2,逃げ,北東,3,1-5-2,7460,33,1,1,0
2025-09-11,7,ウインウイン,2,まくり,北東,4,3-2-4,15100,27,3,3,0
2025-09-11,8,予選,2,恵まれ,北東,4,6-1-2,6690,26,6,6,0
2025-09-11,9,戸田特賞,2,まくり差し,東,1,3-5-4,1550,2,3,3,0
2025-09-11,10,戸田特賞,2,まくり,東,4,3-2-5,4550,22,4,3,1
2025-09-11,11,戸田特選,2,逃げ,東,3,1-4-3,2480,9,1,1,0
2025-09-11,12,記者選抜戦,2,逃げ,東,3,1-5-6,4780,18,1,1,0
2025-09-12,1,予選,3,抜き,無,0,1-3-4,6340,41,1,1,1
2025-09-12,2,予選,3,まくり,無,0,3-6-5,7660,37,3,3,0
2025-09-12,3,予選,3,恵まれ,無,0,4-3-5,3570,14,2,4,1
2025-09-12,4,予選,3,まくり,無,0,2-4-5,4070,21,2,2,0
2025-09-12,5,ウインウイン,3,まくり差し,無,0,3-1-4,2200,6,3,3,0
2025-09-12,6,予選,3,抜き,北東,2,6-3-2,7450,37,6,6,0
2025-09-12,7,ウインウイン,3,逃げ,東,3,1-4-3,1940,8,1,1,0
2025-09-12,8,予選,3,まくり,北東,1,4-6-5,3870,15,4,4,0
2025-09-12,9,戸田特賞,3,まくり差し,東,3,6-1-4,12820,43,5,6,0
2025-09-12,10,戸田特賞,3,差し,無,0,2-6-1,4700,20,2,2,0
2025-09-12,11,戸田特選,3,差し,無,0,2-1-5,3960,13,2,2,0
2025-09-12,12,記者選抜戦,3,まくり,無,0,3-5-6,8230,31,3,3,0
2025-09-13,1,予選,4,差し,西,1,3-4-2,1130,4,3,3,0
2025-09-13,2,予選,4,差し,西,2,2-3-6,7330,29,2,2,0
2025-09-13,3,予選,4,まくり,無,0,2-4-5,1590,1,2,2,0
2025-09-13,4,予選,4,まくり差し,南,1,5-2-3,4970,24,5,5,0
2025-09-13,5,ウインウイン,4,抜き,南西,3,1-2-3,3350,10,1,1,0
2025-09-13,6,予選,4,まくり,南,3,2-3-1,4330,17,3,2,1
2025-09-13,7,ウインウイン,4,差し,南,5,4-3-1,15110,33,4,4,0
2025-09-13,8,予選,4,まくり,南,3,5-3-1,51940,90,5,5,0
2025-09-13,9,戸田特賞,4,差し,南西,3,2-1-4,3310,12,2,2,0
2025-09-13,10,戸田特賞,4,逃げ,南,3,1-5-3,5340,22,1,1,1
2025-09-13,11,戸田特選,4,抜き,南,1,4-2-5,35360,72,4,4,0
2025-09-13,12,記者選抜戦,4,逃げ,南,3,1-2-5,1480,4,1,1,0
2025-09-14,1,一般戦,5,抜き,南西,1,2-1-5,4130,21,2,2,0
2025-09-14,2,一般戦,5,まくり,無,0,3-4-5,3210,12,3,3,0
2025-09-14,3,一般戦,5,差し,無,0,6-3-5,23720,78,6,6,0
2025-09-14,4,一般戦,5,まくり,無,0,4-1-3,8370,32,4,4,0
2025-09-14,5,一般戦,5,逃げ,無,0,1-2-6,7570,35,1,1,0
2025-09-14,6,一般戦,5,まくり差し,無,0,3-4-5,4110,16,3,3,0
2025-09-14,7,一般戦,5,まくり,無,0,6-1-5,11330,49,4,6,1
2025-09-14,8,一般戦,5,差し,東,1,3-4-5,2350,5,2,3,1
2025-09-14,9,一般戦,5,まくり,無,0,3-5-6,9110,40,3,3,0
2025-09-14,10,準優勝戦,5,まくり,無,0,2-3-1,3400,7,3,2,1
2025-09-14,11,準優勝戦,5,逃げ,北,1,1-4-3,2610,9,1,1,0
2025-09-14,12,準優勝戦,5,まくり,北,1,4-2-5,18330,47,4,4,0
2025-09-15,1,一般戦,6,逃げ,北東,1,1-3-2,1590,1,1,1,0
2025-09-15,2,一般戦,6,まくり,北東,3,2-3-5,850,1,2,2,0
2025-09-15,3,一般戦,6,まくり差し,東,3,4-3-5,1510,4,4,4,0
