ym,touban,tot_n,tot_top3,c1n,c1w,c4n,c4w,c4mk,c4st_sum,c4st_n,c6n,c6w2,c6w3,c6st_sum,c6st_n,t4n,t4mk,t6n,t6_23
2025-07,3752,11,7,1,0,1,0,0,0.05,1,1,0,0,0.12,1,0,0,0,0
2025-07,3757,3,1,0,0,1,0,0,0.15,1,0,0,0,0,0,0,0,0,0
2025-07,3761,12,4,2,1,3,0,0,0.49,3,1,0,0,0.25,1,0,0,0,0
2025-07,3769,9,6,2,1,2,0,0,0.18,2,1,0,0,0.29,1,0,0,0,0
2025-07,3771,4,3,1,1,1,0,0,0.12,1,1,0,1,0.22,1,0,0,0,0
2025-07,3772,10,5,1,1,1,0,0,0.21,1,2,0,0,0.32,2,0,0,0,0
2025-07,3773,2,1,0,0,0,0,0,0,0,1,0,1,0.19,1,0,0,0,0
2025-07,3775,15,6,2,0,4,0,0,0.75,4,3,1,0,0.42,3,0,0,0,0
2025-07,3776,7,1,1,0,1,0,0,0.14,1,1,0,0,0.16,1,0,0,0,0
2025-07,3778,8,2,1,0,2,0,0,0.63,2,1,0,0,0.11,1,2,0,1,0
2025-07,3779,10,9,3,1,3,0,0,0.28,3,1,0,1,0.11,1,0,0,0,0
2025-07,3783,10,6,1,0,2,0,0,0.29,2,2,0,1,0.36,2,0,0,0,0
2025-07,3784,5,1,0,0,1,0,0,0.21,1,1,0,0,0.19,1,0,0,0,0
2025-07,3787,3,3,0,0,1,0,0,0.17,1,0,0,0,0,0,0,0,0,0
2025-07,3788,12,6,2,1,1,0,0,0.09,1,2,1,0,0.23,2,0,0,0,0
2025-07,3792,12,8,3,2,1,0,0,0.2,1,1,0,1,0.15,1,0,0,0,0
2025-07,3793,5,1,0,0,0,0,0,0,0,2,0,0,0.33,2,0,0,0,0
2025-07,3796,5,4,1,0,1,0,0,0.09,1,0,0,0,0,0,0,0,0,0
2025-07,3797,10,3,1,1,3,0,0,0.77,3,1,0,0,0.19,1,0,0,0,0
