登番,選手名,地力3連対,全国6走,実6_2着率,実6_3着率,実6_2_3,期待6_2_3,残し残差,補正2着率,全国6ST,当地6走,当地6_2_3
3986,沖島広和,50.0,26,0.0,7.7,7.7,22.1,-9.1,2.4,0.177,1,0.0
4893,渡邉真奈美,49.0,26,0.0,7.7,7.7,22.1,-9.1,2.4,0.162,0,
4611,今井美亜,59.3,38,5.3,10.5,15.8,28.6,-9.2,6.3,0.146,1,0.0
4398,船岡洋一郎,66.4,42,11.9,9.5,21.4,34.0,-9.3,11.8,0.179,1,0.0
4409,坂元浩仁,64.8,38,10.5,10.5,21.1,34.0,-9.3,10.8,0.174,1,0.0
4055,吉田俊彦,65.0,26,7.7,11.5,19.2,34.0,-9.4,9.0,0.183,1,100.0
4561,藤山翔大,53.8,23,4.3,4.3,8.7,24.2,-9.4,5.6,0.257,0,
4588,田中京介,55.3,43,2.3,9.3,11.6,24.2,-9.4,3.7,0.185,0,
4315,山崎昂介,44.4,30,3.3,0.0,3.3,17.6,-9.5,3.9,0.189,1,0.0
5213,湯淺紀香,49.4,35,0.0,8.6,8.6,22.1,-9.5,2.0,0.23,2,0.0
3454,井川大作,54.0,37,2.7,8.1,10.8,24.2,-9.6,4.1,0.201,0,
3892,草場康幸,50.7,28,3.6,3.6,7.1,22.1,-9.7,4.6,0.16,0,
4831,羽野直也,68.3,31,3.2,19.4,22.6,37.0,-9.7,6.6,0.158,4,0.0
3959,坪井康晴,69.1,35,5.7,17.1,22.9,37.0,-9.9,8.0,0.166,2,0.0
4571,菅章哉,53.3,80,6.2,6.2,12.5,24.2,-9.9,6.5,0.147,1,0.0
5069,山崎小葉音,44.4,20,0.0,0.0,0.0,17.6,-10.0,2.2,0.184,0,
3721,守田俊介,61.8,19,0.0,10.5,10.5,28.6,-10.1,3.9,0.13,2,0.0
4052,興津藍,57.3,46,2.2,8.7,10.9,24.2,-10.1,3.5,0.177,0,
4488,小山勉,68.3,39,10.3,12.8,23.1,37.0,-10.1,11.1,0.199,0,
4804,高田ひかる,63.3,40,5.0,15.0,20.0,34.0,-10.2,6.7,0.202,0,
5028,原田才一郎,67.4,36,8.3,11.1,19.4,34.0,-10.3,9.2,0.207,2,0.0
3436,柏野幸二,58.2,25,0.0,12.0,12.0,28.6,-10.4,3.3,0.167,0,
4263,武重雄介,50.4,39,7.7,0.0,7.7,22.1,-10.4,7.4,0.217,0,
5104,山田丈,59.1,25,0.0,12.0,12.0,28.6,-10.4,3.3,0.192,0,
5112,砂長知輝,68.8,40,5.0,17.5,22.5,37.0,-10.6,7.3,0.191,4,0.0
4758,富樫麗加,61.5,15,0.0,6.7,6.7,28.6,-11.0,4.4,0.192,1,0.0
4679,植田太一,60.2,38,5.3,7.9,13.2,28.6,-11.1,6.3,0.175,0,
5194,大久保佑香,39.6,30,0.0,0.0,0.0,16.8,-11.2,1.6,0.186,3,0.0
