c2_regno,c1_regno,c1_won,win_course,kimarite
5032,4635,0,2,恵まれ
3870,4218,1,1,逃げ
3731,3833,1,2,差し
4245,3654,0,2,差し
5043,4828,1,1,逃げ
4105,4295,0,6,まくり差し
4594,4513,0,2,抜き
4272,5278,1,1,逃げ
3441,4259,1,1,逃げ
4016,4852,1,1,逃げ
5160,4236,1,1,逃げ
3850,3843,0,4,抜き
4259,3984,1,1,逃げ
4034,5090,1,1,逃げ
3933,4201,0,4,まくり差し
4626,3519,1,1,逃げ
4403,4428,1,1,逃げ
5221,4209,0,3,まくり
5018,4584,1,1,逃げ
5047,4404,0,4,抜き
5014,4790,1,1,逃げ
4522,3788,1,1,逃げ
3072,3350,1,1,逃げ
3955,4973,1,1,逃げ
4346,3792,1,1,逃げ
4656,3963,1,1,逃げ
4145,4710,1,1,逃げ
3072,4718,1,1,逃げ
4973,5243,1,1,逃げ
4583,4839,1,1,逃げ
4953,4066,1,1,逃げ
3892,4331,0,4,まくり
4526,4152,1,1,逃げ
4570,4895,0,2,差し
3566,4159,0,3,まくり
4834,4348,0,2,差し
4753,4423,0,4,まくり差し
4959,3563,0,6,まくり
3907,4702,1,1,逃げ
4557,5000,0,3,まくり差し
4960,5075,1,1,逃げ
5002,4361,1,1,逃げ
4061,4044,0,5,まくり
3202,4593,1,1,逃げ
3752,4047,1,1,逃げ
4199,4365,0,4,まくり
4049,5237,1,1,逃げ
4709,4856,0,2,差し
4120,3539,0,4,差し
3988,5238,0,5,まくり差し
3286,4050,1,1,逃げ
3752,5192,0,2,まくり
3637,4244,0,2,差し
3900,5132,1,1,逃げ
3918,4759,0,2,まくり
4407,3489,1,1,逃げ
5151,5305,0,4,まくり
3965,5177,0,4,まくり
3832,5180,0,4,まくり
4146,3961,1,1,逃げ
4306,3686,0,2,差し
3852,4432,1,1,逃げ
4113,4452,0,2,差し
3801,4706,1,1,逃げ
3961,5257,1,1,逃げ
4618,4002,1,1,逃げ
3959,3473,0,4,まくり
5098,5082,0,3,まくり差し
5197,5332,0,2,まくり
5301,5307,0,2,まくり
