regno,選手名,n2,nige,exp,壁力,負けn,自分勝ち率,まくり決着率,壁,弱タイプ
4067,永井源,44,0.5227,0.5478,-2.5,21,0.429,0.857,,
4477,篠崎仁志,43,0.6279,0.6526,-2.5,16,0.25,0.812,,
4991,宗行治哉,46,0.5435,0.5689,-2.5,21,0.238,0.762,,
3576,白水勝也,47,0.5532,0.5777,-2.4,21,0.381,0.81,,
4377,濱本優一,41,0.5366,0.561,-2.4,19,0.421,0.579,,
4927,関野文,44,0.5455,0.5684,-2.3,20,0.4,0.65,,
3663,木山和幸,42,0.5476,0.5682,-2.1,19,0.158,0.842,,
4738,清埜翔子,42,0.5,0.5215,-2.1,21,0.524,0.667,,
5205,刑部亜里紗,47,0.5319,0.5524,-2.0,22,0.318,0.727,,
4224,大橋栄里佳,44,0.5455,0.5644,-1.9,20,0.3,0.65,,
5082,一色凌雅,46,0.5652,0.5843,-1.9,20,0.1,0.9,,
4182,吉田和仁,40,0.5,0.5191,-1.9,20,0.2,0.8,,
3256,三角哲男,43,0.5349,0.5539,-1.9,20,0.5,0.65,,
5121,定松勇樹,46,0.6304,0.6487,-1.8,17,0.647,0.588,,
3304,烏野賢太,50,0.56,0.5784,-1.8,22,0.227,0.727,,
3327,野長瀬正孝,47,0.5532,0.5716,-1.8,21,0.238,0.81,,
4961,西橋奈未,40,0.575,0.5919,-1.7,17,0.412,0.824,,
5278,田中駿兵,44,0.5455,0.5613,-1.6,20,0.4,0.7,,
5223,森清友翔,43,0.4884,0.5045,-1.6,22,0.227,0.818,,
4430,永田秀二,42,0.5238,0.5399,-1.6,20,0.25,0.8,,
5073,上原健次郎,40,0.575,0.5888,-1.4,17,0.529,0.529,,
3775,泉啓文,40,0.525,0.5382,-1.3,19,0.158,0.842,,
4467,渡邉俊介,44,0.5455,0.5588,-1.3,20,0.25,0.8,,
4434,田中辰彦,41,0.5366,0.5487,-1.2,19,0.474,0.579,,
3841,佐々木和伸,46,0.5652,0.5757,-1.1,20,0.3,0.7,,
5060,数原魁,41,0.5122,0.5223,-1.0,20,0.35,0.75,,
3546,中里昌志,40,0.55,0.5597,-1.0,18,0.0,1.0,,
4231,鈴木裕隆,47,0.5532,0.5629,-1.0,21,0.524,0.619,,
4122,安東幸治,49,0.5714,0.5814,-1.0,21,0.143,0.857,,
3990,芹澤克彦,40,0.55,0.5589,-0.9,18,0.5,0.778,,
4959,井上忠政,49,0.6122,0.6215,-0.9,19,0.526,0.737,,
4776,竹田和哉,45,0.5778,0.586,-0.8,19,0.421,0.579,,
5043,中村日向,43,0.6279,0.6358,-0.8,16,0.312,0.75,,
4536,喜井つかさ,40,0.525,0.533,-0.8,19,0.474,0.842,,
3572,安田政彦,42,0.5476,0.5561,-0.8,19,0.211,0.895,,
5075,中島秀治,50,0.58,0.5866,-0.7,21,0.238,0.857,,
3333,丸尾義孝,43,0.5814,0.5884,-0.7,18,0.389,0.667,,
5034,若林義人,48,0.5625,0.5698,-0.7,21,0.333,0.714,,
3777,樋口亮,40,0.55,0.5572,-0.7,18,0.444,0.722,,
4084,杉山正樹,43,0.6279,0.6343,-0.6,16,0.25,0.812,,
4659,木下翔太,45,0.6222,0.6282,-0.6,17,0.529,0.588,,
3910,松下知幸,40,0.55,0.5553,-0.5,18,0.167,0.889,,
5112,砂長知輝,42,0.5952,0.6005,-0.5,17,0.647,0.412,,
3940,飯山泰,49,0.551,0.5557,-0.5,22,0.409,0.818,,
