regno,選手名,n2,nige,exp,壁力,負けn,自分勝ち率,まくり決着率,壁,弱タイプ
3473,石川真二,167,0.4072,0.5759,-16.9,99,0.323,0.646,壁弱●,素通し型
4874,池田奈津美,91,0.3516,0.5204,-16.9,59,0.136,0.746,壁弱●,素通し型
4851,関浩哉,45,0.4667,0.6346,-16.8,24,0.542,0.5,壁弱●,食う型
3159,江口晃生,99,0.404,0.572,-16.8,59,0.305,0.678,壁弱●,素通し型
4148,枝尾賢,43,0.4186,0.5844,-16.6,25,0.4,0.6,壁弱●,素通し型
5088,高憧四季,41,0.4146,0.5789,-16.4,24,0.667,0.625,壁弱●,食う型
5139,大場恒季,40,0.375,0.5377,-16.3,25,0.48,0.44,壁弱●,素通し型
4251,川崎誠志,50,0.38,0.5391,-15.9,31,0.29,0.71,壁弱●,素通し型
3415,松井繁,54,0.5185,0.6681,-15.0,26,0.423,0.577,壁弱●,素通し型
4077,品田直樹,51,0.3922,0.5421,-15.0,31,0.452,0.581,壁弱●,素通し型
3933,山地正樹,92,0.413,0.5618,-14.9,54,0.296,0.667,壁弱●,素通し型
4824,松井洪弥,45,0.4222,0.5692,-14.7,26,0.5,0.577,壁弱●,食う型
3072,西田靖,133,0.3835,0.528,-14.4,82,0.085,0.78,壁弱●,素通し型
3814,金子貴志,41,0.439,0.5828,-14.4,23,0.174,0.739,壁弱●,素通し型
4642,松尾夏海,45,0.4222,0.5638,-14.2,26,0.385,0.538,壁弱●,素通し型
4324,海野康志郎,73,0.4658,0.6062,-14.0,39,0.487,0.462,壁弱●,素通し型
5196,鰐部太空海,41,0.4634,0.6036,-14.0,22,0.591,0.409,壁弱●,食う型
4403,木下大將,42,0.4286,0.5665,-13.8,24,0.583,0.417,壁弱●,食う型
4680,後藤美翼,40,0.375,0.5093,-13.4,25,0.16,0.72,壁弱●,素通し型
4688,永井彪也,41,0.4634,0.5964,-13.3,22,0.409,0.545,壁弱●,素通し型
3731,高濱芳久,51,0.4118,0.5439,-13.2,30,0.167,0.6,壁弱●,素通し型
4012,中村有裕,40,0.425,0.5575,-13.2,23,0.435,0.565,壁弱●,素通し型
5051,松本純平,42,0.4762,0.6056,-12.9,22,0.273,0.591,壁弱●,素通し型
5224,西岡顕心,40,0.5,0.6253,-12.5,20,0.6,0.6,壁弱●,食う型
4958,溝口海義也,47,0.4468,0.5716,-12.5,26,0.462,0.462,壁弱●,素通し型
5029,中亮太,41,0.4634,0.5846,-12.1,22,0.545,0.591,,
5132,中野希一,46,0.4565,0.5773,-12.1,25,0.56,0.48,,
4516,野口勝弘,40,0.4,0.5201,-12.0,24,0.458,0.75,,
4804,高田ひかる,41,0.4634,0.5824,-11.9,22,0.273,0.727,,
5252,荒木颯斗,46,0.4348,0.5529,-11.8,26,0.346,0.692,,
4861,田中宏樹,43,0.4419,0.5588,-11.7,24,0.208,0.542,,
4144,石塚久也,48,0.4375,0.5543,-11.7,27,0.222,0.741,,
4458,抹香雄三,43,0.4419,0.5582,-11.6,24,0.292,0.667,,
3582,吉川昭男,84,0.4405,0.5548,-11.4,47,0.404,0.532,,
3268,森竜也,51,0.4118,0.5262,-11.4,30,0.167,0.533,,
4448,青木玄太,44,0.5,0.6134,-11.3,22,0.409,0.727,,
3251,平石和男,46,0.4565,0.5693,-11.3,25,0.52,0.36,,
5193,米丸乃絵,41,0.4634,0.5757,-11.2,22,0.591,0.773,,
3532,柴田光,47,0.4468,0.5575,-11.1,26,0.346,0.615,,
