登番,全国1コ走数,全国逃げ率
4083,58,82.8
4084,62,74.2
4086,41,46.3
4089,52,67.3
4090,37,67.6
4092,30,63.3
4093,32,31.2
4094,27,51.9
4095,69,66.7
4096,47,74.5
4098,30,40.0
4099,53,71.7
4100,29,55.2
4102,49,79.6
4103,29,24.1
4104,26,38.5
4105,46,37.0
4108,37,75.7
4109,59,67.8
4110,29,34.5
4111,29,51.7
4112,33,63.6
4113,37,45.9
4114,25,36.0
4116,38,31.6
4117,45,37.8
4118,60,61.7
4119,41,51.2
4120,56,69.6
4121,43,62.8
4122,52,55.8
4123,61,63.9
4124,50,58.0
4128,28,39.3
4129,26,15.4
4131,37,64.9
4133,49,51.0
4134,49,51.0
4136,53,67.9
4137,58,70.7
4138,29,44.8
4139,26,34.6
4140,47,74.5
4142,42,47.6
4144,39,64.1
4145,25,12.0
4146,36,55.6
4148,44,54.5
4150,41,58.5
4151,39,48.7
4152,31,35.5
4154,38,42.1
4155,47,59.6
4156,48,45.8
4158,29,72.4
4159,55,58.2
4161,45,53.3
4163,61,65.6
4164,24,16.7
4166,66,77.3
4167,24,25.0
4168,50,68.0
4169,25,32.0
4171,61,73.8
4172,55,60.0
4173,31,51.6
4174,70,67.1
4175,33,69.7
4177,27,59.3
4179,40,55.0
4180,33,51.5
4181,24,33.3
4182,36,36.1
4183,43,74.4
4184,46,67.4
4186,21,23.8
4188,56,78.6
4189,55,67.3
4190,29,72.4
4191,41,68.3
4193,51,68.6
4195,35,34.3
4196,27,33.3
4197,31,29.0
4199,69,71.0
4200,33,36.4
4201,24,33.3
4202,30,46.7
4203,26,34.6
4204,29,34.5
4205,51,76.5
4207,48,68.8
4208,60,71.7
4209,44,38.6
4210,49,40.8
4211,26,15.4
4214,44,61.4
4215,55,60.0
4216,48,62.5
4218,60,76.7
4219,24,25.0
4220,31,74.2
4224,36,55.6
4225,43,60.5
4226,33,48.5
4227,50,76.0
4228,54,51.9
4229,23,30.4
4230,37,75.7
4231,45,37.8
4232,28,32.1
4233,47,55.3
4234,25,52.0
4236,77,79.2
4237,61,68.9
4238,45,84.4
4239,60,65.0
4240,45,57.8
4241,45,55.6
4243,44,52.3
4245,29,34.5
4246,29,20.7
4247,32,34.4
4248,23,43.5
4251,30,33.3
4252,27,33.3
4253,30,40.0
4254,36,66.7
4256,50,72.0
4257,26,42.3
4258,33,39.4
4259,48,68.8
4260,44,61.4
4261,52,63.5
4262,65,76.9
4263,44,63.6
4264,69,72.5
4266,59,78.0
4269,60,66.7
4270,28,53.6
4271,28,21.4
4272,25,36.0
4273,31,45.2
4274,28,46.4
4275,21,14.3
4276,48,64.6
4277,27,51.9
4278,64,81.2
4281,28,60.7
4283,27,11.1
4286,56,46.4
4287,44,63.6
4288,76,71.1
4289,46,71.7
4290,54,68.5
4292,52,63.5
4293,50,46.0
4294,48,66.7
4295,64,76.6
4296,40,70.0
4297,44,72.7
4298,54,57.4
4300,31,35.5
4301,25,36.0
4302,62,74.2
4303,37,45.9
4305,55,83.6
4306,32,34.4
4308,59,71.2
4311,69,75.4
4313,24,66.7
4314,47,74.5
4315,25,48.0
4317,26,46.2
4318,40,40.0
4319,46,63.0
4320,48,81.2
4323,28,50.0
4324,82,76.8
4325,33,27.3
4327,31,32.3
4329,31,35.5
4330,45,66.7
4331,41,75.6
4332,23,26.1
4335,58,77.6
4336,39,66.7
4337,62,74.2
4339,30,30.0
4342,40,82.5
4343,26,30.8
4344,49,71.4
4345,47,53.2
4346,32,50.0
4347,45,60.0
4348,47,48.9
4349,22,36.4
4350,55,83.6
4351,80,63.7
4352,45,71.1
4356,45,68.9
4357,62,59.7
4358,27,25.9
4359,37,45.9
4360,38,44.7
4361,55,85.5
4362,46,52.2
4363,55,56.4
4364,57,71.9
4365,41,51.2
4366,68,66.2
4367,23,34.8
4368,21,42.9
4369,53,58.5
4370,64,62.5
4371,46,80.4
4372,31,64.5
4373,64,54.7
4374,28,42.9
4375,50,62.0
4376,54,66.7
