regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
5361,植竹玲奈,124.0,0.129,4.0,0.0,0.129,全国,3.0,3.0,0.333,,,53.0,0.019,0.113,○,42,0.143,40,0.1,●,●
4826,井上一輝,121.0,0.182,5.0,0.0,0.182,全国,61.0,12.0,0.25,,,39.0,0.205,0.205,,37,0.541,47,0.553,,
4728,山口亮,91.0,0.121,,,0.121,全国,28.0,13.0,0.385,,,31.0,0.032,0.097,,32,0.188,29,0.138,●,●
4004,山本浩輔,104.0,0.221,5.0,0.0,0.221,全国,30.0,17.0,0.471,,,22.0,0.091,0.091,,36,0.361,27,0.222,●,
4082,濱崎誠,121.0,0.174,15.0,0.133,0.174,全国,30.0,16.0,0.5,,,36.0,0.167,0.083,,42,0.405,37,0.27,,
4551,三川昂暁,123.0,0.195,,,0.195,全国,47.0,27.0,0.481,○,,44.0,0.114,0.227,○,37,0.459,44,0.409,,
3957,大谷直弘,109.0,0.22,16.0,0.312,0.22,全国,34.0,23.0,0.261,,,27.0,0.111,0.222,,42,0.31,29,0.414,,
4834,浜本裕己,124.0,0.194,5.0,0.0,0.194,全国,50.0,15.0,0.667,,,30.0,0.067,0.167,,36,0.361,37,0.216,●,
4906,鈴木雅希,107.0,0.224,5.0,0.0,0.224,全国,34.0,20.0,0.5,,,31.0,0.129,0.226,,40,0.425,30,0.333,,
4347,魚谷香織,103.0,0.223,4.0,0.5,0.223,全国,44.0,17.0,0.471,,,33.0,0.061,0.303,,30,0.433,38,0.368,,
4472,尾嶋一広,131.0,0.244,10.0,0.1,0.244,全国,52.0,13.0,0.538,,,30.0,0.167,0.267,,42,0.405,34,0.529,,
3950,石川哲秀,83.0,0.145,4.0,0.0,0.145,全国,24.0,21.0,0.19,,,26.0,0.115,0.038,,31,0.161,24,0.167,●,●
5314,中曽瑠華,103.0,0.068,4.0,0.25,0.068,全国,15.0,11.0,0.273,,,36.0,0.0,0.028,,33,0.061,33,0.0,●,●
4208,三浦永理,118.0,0.288,4.0,0.25,0.288,全国,61.0,18.0,0.444,,,34.0,0.147,0.176,,42,0.69,36,0.444,,
4506,稗田聖也,112.0,0.214,3.0,0.333,0.214,全国,44.0,15.0,0.467,,,32.0,0.156,0.188,,39,0.513,35,0.429,,
4220,深川和仁,92.0,0.109,5.0,0.2,0.109,全国,29.0,8.0,0.25,,,22.0,0.045,0.136,,30,0.2,28,0.214,●,●
4106,坂井康嗣,82.0,0.085,5.0,0.2,0.085,全国,18.0,14.0,0.357,,,14.0,0.0,0.071,,30,0.267,18,0.056,●,
5140,吉田彩乃,91.0,0.121,2.0,0.5,0.121,全国,27.0,19.0,0.421,,,29.0,0.0,0.172,,33,0.152,27,0.185,●,●
4925,森悠稀,110.0,0.191,8.0,0.125,0.191,全国,41.0,19.0,0.316,,,34.0,0.029,0.176,,34,0.412,36,0.25,,
4731,間野兼礼,93.0,0.14,9.0,0.222,0.14,全国,23.0,11.0,0.273,,,25.0,0.08,0.12,,33,0.333,27,0.185,●,
4361,柳生泰二,105.0,0.229,8.0,0.125,0.229,全国,55.0,8.0,0.5,,,32.0,0.188,0.156,,30,0.633,40,0.5,,
4570,前田聖文,116.0,0.233,8.0,0.125,0.233,全国,53.0,23.0,0.304,○,飛ぶ型,34.0,0.118,0.353,,36,0.472,41,0.488,,
4943,八木治樹,78.0,0.167,6.0,0.167,0.167,全国,21.0,13.0,0.231,,,23.0,0.0,0.13,,28,0.143,22,0.182,●,●
3736,岡本猛,10.0,0.4,,,0.4,全国,3.0,0.0,,,,1.0,0.0,0.0,,3,0.667,3,0.333,,
4994,山本梨菜,109.0,0.248,,,0.248,全国,54.0,19.0,0.474,,,32.0,0.156,0.25,,36,0.472,39,0.385,,
5084,末永和也,105.0,0.21,8.0,0.375,0.21,全国,49.0,9.0,0.333,,,33.0,0.182,0.273,,32,0.312,36,0.5,,
4498,宮本夏樹,65.0,0.169,,,0.169,全国,16.0,8.0,0.375,,,20.0,0.1,0.15,,21,0.381,18,0.278,,
