regno,選手名,全国ダッシュn,全国ダッシュST,全国スローn,全国スローST,当地ダッシュn,当地ダッシュST,当地スローn,当地スローST,採用スローST,スロー源,スロー遅れ,スロー巧者,採用ダッシュST,ダッシュ源,ダッシュ遅れ,ダッシュ巧者
5162,松尾怜実,43.0,0.179,49.0,0.164,,,,,0.164,全国,,,0.179,全国,,
5163,清水愛海,105.0,0.181,112.0,0.154,5.0,0.282,6.0,0.21,0.154,全国,,,0.181,全国,●,
5164,森田梨湖,38.0,0.214,45.0,0.211,,,,,0.211,全国,●,,0.214,全国,●,
5165,小林愛実,100.0,0.174,98.0,0.167,,,,,0.167,全国,,,0.174,全国,,
5166,仲道大輔,108.0,0.185,119.0,0.163,,,,,0.163,全国,,,0.185,全国,●,
5167,小川竜太朗,91.0,0.149,98.0,0.17,,,,,0.17,全国,,,0.149,全国,,
5169,堀本翔太,57.0,0.185,56.0,0.206,13.0,0.141,13.0,0.225,0.225,当地,●,,0.141,当地,,
5170,佐藤太亮,86.0,0.166,101.0,0.16,,,,,0.16,全国,,,0.166,全国,,
5171,清水未唯,20.0,0.131,18.0,0.18,,,,,0.18,全国,●,,0.131,全国,,
5172,田村慶,108.0,0.182,107.0,0.198,4.0,0.155,5.0,0.162,0.198,全国,●,,0.182,全国,●,
5173,谷口佳蓮,106.0,0.163,97.0,0.14,5.0,0.144,6.0,0.112,0.14,全国,,,0.163,全国,,
5174,川井萌,40.0,0.185,43.0,0.18,,,,,0.18,全国,,,0.185,全国,●,
5175,島崎丈一朗,55.0,0.185,50.0,0.166,5.0,0.244,4.0,0.16,0.166,全国,,,0.185,全国,●,
5176,石倉拓美,43.0,0.168,35.0,0.19,,,,,0.19,全国,●,,0.168,全国,,
5177,松井貫太,106.0,0.199,106.0,0.195,7.0,0.181,8.0,0.218,0.195,全国,●,,0.199,全国,●,
5178,成貞琳平,112.0,0.205,108.0,0.176,,,,,0.176,全国,,,0.205,全国,●,
5179,藤本元輝,80.0,0.186,54.0,0.168,,,,,0.168,全国,,,0.186,全国,●,
5180,藤本紗弥香,45.0,0.215,32.0,0.215,3.0,0.173,3.0,0.237,0.215,全国,●,,0.215,全国,●,
5181,森智哉,89.0,0.167,91.0,0.17,5.0,0.148,5.0,0.206,0.17,全国,,,0.167,全国,,
5182,宮崎安奈,83.0,0.137,101.0,0.155,4.0,0.152,5.0,0.194,0.155,全国,,,0.137,全国,,
5183,中野孝二,101.0,0.164,98.0,0.159,32.0,0.169,36.0,0.14,0.14,当地,,,0.169,当地,,
5184,飯塚響,44.0,0.192,38.0,0.207,,,,,0.207,全国,●,,0.192,全国,●,
5185,加藤優弥,90.0,0.146,91.0,0.125,,,,,0.125,全国,,●,0.146,全国,,
5186,遠藤圭吾,83.0,0.177,91.0,0.175,3.0,0.207,3.0,0.257,0.175,全国,,,0.177,全国,,
5187,小坂風太,58.0,0.194,60.0,0.188,,,,,0.188,全国,●,,0.194,全国,●,
5188,武井莉里佳,112.0,0.159,131.0,0.172,,,,,0.172,全国,,,0.159,全国,,
5189,藤原早菜,113.0,0.185,117.0,0.209,9.0,0.203,8.0,0.23,0.209,全国,●,,0.185,全国,●,
5190,大月遊雅,87.0,0.188,80.0,0.172,4.0,0.155,5.0,0.182,0.172,全国,,,0.188,全国,●,
5191,飛田江己,130.0,0.128,148.0,0.122,5.0,0.15,6.0,0.152,0.122,全国,,●,0.128,全国,,●
5192,中尾優香,100.0,0.187,92.0,0.187,,,,,0.187,全国,●,,0.187,全国,●,
5193,米丸乃絵,112.0,0.165,137.0,0.144,,,,,0.144,全国,,,0.165,全国,,
