regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
5210,藤井公人,114,0.386,6,,0.386,全国,30,11,,,,35,,,,38,0.447,34,0.176,●,
5211,高井駿弥,102,0.245,4,,0.245,全国,23,20,,,,28,,,,37,0.162,28,0.25,,●
5212,西川拓利,122,0.443,11,,0.443,全国,38,13,,,,34,,,,42,0.524,37,0.216,●,
5213,湯淺紀香,120,0.275,0,,0.275,全国,37,14,,,,35,,,,40,0.275,38,0.132,●,
5214,田中宏典,106,0.321,7,,0.321,全国,33,18,,,,37,,,,39,0.179,31,0.29,,●
5216,長谷川晴哉,133,0.444,0,,0.444,全国,64,25,0.32,○,,37,,,,41,0.463,38,0.342,,
5217,藤原碧生,109,0.495,0,,0.495,全国,41,16,,,,43,0.14,0.186,○,31,0.613,43,0.349,,
5218,山田理央,128,0.523,5,,0.523,全国,50,14,,,,37,,,,40,0.5,38,0.421,,
5219,森口和紀,102,0.343,0,,0.343,全国,25,11,,,,35,,,,31,0.355,35,0.2,●,
5220,青木蓮,139,0.583,2,,0.583,全国,61,20,0.4,○,,37,,,,44,0.5,44,0.523,,
5221,竹間隆晟,132,0.515,3,,0.515,全国,64,19,,,,45,0.067,0.222,○,41,0.61,39,0.359,,
5222,津田陸翔,121,0.488,3,,0.488,全国,55,18,,,,38,,,,42,0.429,43,0.302,,
5223,森清友翔,132,0.333,4,,0.333,全国,33,19,,,,41,0.024,0.146,○,42,0.238,43,0.233,●,●
5224,西岡顕心,127,0.543,8,,0.543,全国,65,16,,,,44,0.159,0.295,○,41,0.488,45,0.489,,
5226,藤田俊祐,79,0.418,7,,0.418,全国,33,8,,,,25,,,,28,0.393,28,0.357,,
5228,若林樹蘭,94,0.436,2,,0.436,全国,35,11,,,,32,,,,29,0.483,32,0.344,,
5229,吉川晴人,134,0.396,9,,0.396,全国,48,21,0.143,○,飛ぶ型,48,0.125,0.146,○,45,0.467,45,0.289,,
5230,石原凪紗,103,0.223,0,,0.223,全国,26,14,,,,36,,,,33,0.273,34,0.118,●,
5231,寺田空詩,92,0.348,0,,0.348,全国,32,12,,,,27,,,,31,0.355,32,0.219,●,
5232,樅山拓馬,98,0.316,9,,0.316,全国,27,14,,,,26,,,,33,0.364,30,0.267,,
5234,塚越海斗,137,0.577,1,,0.577,全国,62,23,0.522,○,,44,0.091,0.273,○,42,0.619,48,0.396,,
5235,岩田凌,60,0.1,0,,0.1,全国,14,12,,,,20,,,,20,0.05,16,0.062,●,●
5236,小宮涼雅,151,0.258,15,,0.258,全国,23,17,,,,57,0.018,0.193,○,44,0.205,49,0.224,●,●
5237,永松良教,89,0.292,0,,0.292,全国,19,13,,,,38,,,,28,0.286,31,0.226,●,
5238,笹木香吾,119,0.387,0,,0.387,全国,45,20,0.55,○,,43,0.07,0.07,○,36,0.417,44,0.25,,
5239,上野俊樹,110,0.373,11,,0.373,全国,37,24,,,,41,0.024,0.244,○,38,0.421,42,0.286,,
5240,高橋龍治,95,0.263,8,,0.263,全国,27,14,,,,38,,,,27,0.296,36,0.194,●,
5241,門田栞,101,0.297,0,,0.297,全国,27,18,,,,38,,,,35,0.286,33,0.242,●,
5242,高山弘斗,96,0.271,20,,0.271,全国,23,18,,,,32,,,,38,0.342,31,0.226,●,
5243,三馬崇史,124,0.411,7,,0.411,全国,42,23,0.391,○,,32,,,,36,0.361,39,0.308,,
5244,黒田剛,95,0.2,12,,0.2,全国,21,12,,,,27,,,,30,0.1,26,0.115,●,●
5245,倉富大誠,108,0.407,8,,0.407,全国,25,15,,,,33,,,,41,0.439,27,0.296,,
5246,楠将太郎,108,0.389,0,,0.389,全国,37,21,,,,42,0.119,0.167,○,35,0.314,40,0.35,,
5247,大森翼,116,0.371,5,,0.371,全国,29,22,,,,32,,,,42,0.357,30,0.2,●,
5248,本田愛,107,0.327,0,,0.327,全国,24,20,,,,40,0.15,0.125,○,35,0.343,38,0.342,,
5249,三木晴斗,106,0.34,6,,0.34,全国,33,22,,,,38,,,,34,0.353,34,0.265,,
5250,嶋田有里,97,0.237,6,,0.237,全国,25,15,,,,29,,,,31,0.323,30,0.133,●,
5251,沼田七華,52,0.019,0,,0.019,全国,14,14,,,,19,,,,16,0.0,20,0.0,●,●
5252,荒木颯斗,114,0.474,3,,0.474,全国,44,21,0.429,○,,37,,,,38,0.395,36,0.333,,
5253,藤井太雅,78,0.167,16,,0.167,全国,13,12,,,,40,0.025,0.1,○,19,0.158,40,0.15,●,●
5254,羽田妃希,102,0.196,0,,0.196,全国,13,8,,,,34,,,,34,0.235,33,0.091,●,●
5255,藤原仙二,127,0.567,16,,0.567,全国,47,14,,,,40,0.225,0.25,○,43,0.674,39,0.436,,
5256,中山翔太,120,0.533,8,,0.533,全国,59,11,,,,34,,,,38,0.553,37,0.486,,
