regno,選手名,全国スローn,全国スローST,当地スローn,当地スローST,採用スローST,スロー源,スロー遅れ,スロー巧者,全国ダッシュn,全国ダッシュST,当地ダッシュn,当地ダッシュST,採用ダッシュST,ダッシュ源,ダッシュ遅れ,ダッシュ巧者
4651,佐藤大騎,82,0.169,10,0.194,0.194,当地,●,,105,0.173,8,0.214,0.173,全国,,
4652,酒見峻介,116,0.167,10,0.152,0.152,当地,,,108,0.184,11,0.176,0.176,当地,,
4653,小野達哉,131,0.143,6,0.158,0.143,全国,,,99,0.146,4,0.147,0.146,全国,,
4654,篠田優也,135,0.156,0,,0.156,全国,,,119,0.158,0,,0.158,全国,,
4656,大崎翔,109,0.148,10,0.125,0.125,当地,,●,107,0.158,11,0.182,0.182,当地,●,
4659,木下翔太,173,0.145,0,,0.145,全国,,,137,0.151,0,,0.151,全国,,
4660,宇田川信一,74,0.195,15,0.223,0.223,当地,●,,81,0.194,14,0.188,0.188,当地,●,
4661,中島昂章,119,0.164,1,0.04,0.164,全国,,,111,0.194,1,0.28,0.194,全国,●,
4663,籾山佳岳,40,0.141,0,,0.141,全国,,,40,0.161,0,,0.161,全国,,
4664,東口晃,84,0.181,0,,0.181,全国,●,,81,0.206,0,,0.206,全国,●,
4665,加藤啓太,108,0.161,8,0.208,0.161,全国,,,119,0.176,8,0.259,0.176,全国,,
4666,日笠勝弘,72,0.158,0,,0.158,全国,,,69,0.162,0,,0.162,全国,,
4669,井上茂,108,0.145,4,0.265,0.145,全国,,,106,0.186,5,0.238,0.186,全国,●,
4672,守屋大地,108,0.186,0,,0.186,全国,●,,119,0.168,0,,0.168,全国,,
4674,池田剛規,141,0.147,6,0.22,0.147,全国,,,138,0.146,4,0.193,0.146,全国,,
4675,井手良太,89,0.146,1,0.2,0.146,全国,,,93,0.119,3,0.153,0.119,全国,,●
4676,後藤隼之,125,0.142,0,,0.142,全国,,,108,0.186,0,,0.186,全国,●,
4677,片橋幸貴,112,0.153,8,0.194,0.153,全国,,,110,0.16,9,0.147,0.16,全国,,
4678,水野望美,91,0.169,0,,0.169,全国,,,89,0.176,0,,0.176,全国,,
4679,植田太一,153,0.154,10,0.142,0.142,当地,,,131,0.162,9,0.163,0.162,全国,,
4680,後藤美翼,130,0.185,5,0.264,0.185,全国,●,,108,0.209,5,0.238,0.209,全国,●,
4681,太田潮,74,0.161,0,,0.161,全国,,,74,0.189,0,,0.189,全国,●,
4682,大上卓人,144,0.132,0,,0.132,全国,,,135,0.147,8,0.23,0.147,全国,,
4683,向井田直弥,24,0.152,2,0.145,0.152,全国,,,97,0.139,2,0.055,0.139,全国,,
4684,楠原翔太,127,0.139,6,0.188,0.139,全国,,,113,0.149,4,0.16,0.149,全国,,
4685,島村隆幸,134,0.143,5,0.13,0.143,全国,,,114,0.163,4,0.203,0.163,全国,,
4686,丸野一樹,144,0.136,0,,0.136,全国,,,118,0.128,0,,0.128,全国,,●
4688,永井彪也,139,0.135,17,0.122,0.122,当地,,●,135,0.125,17,0.146,0.146,当地,,
