登番,名前,級,採用元,丸亀走数,スロー平均ST,ダッシュ平均ST,スロー巧者(<=.13),スロー遅れ警戒(>.18),ダッシュ遅れ警戒(>.18)
3637,齋藤和政,B1,全国,0,0.182,0.187,,●,●
3641,一瀬明,A1,当地,21,0.146,0.196,,,●
3642,大塚浩二,B1,全国,1,0.198,0.204,,●,●
3643,米田隆弘,B1,当地,10,0.196,0.19,,●,●
3644,矢橋成介,B2,全国,0,,,,,
3645,淺田千亜希,B2,全国,1,0.147,0.16,,,
3647,伊藤雄二,B1,全国,9,0.171,0.189,,,●
3652,森下勇,B1,全国,0,0.172,0.201,,,●
3653,品川賢次,B2,全国,0,0.201,0.2,,●,●
3654,武田光史,A2,全国,9,0.157,0.172,,,
3655,本橋克洋,B1,全国,0,0.172,0.168,,,
3656,伯母芳恒,B1,全国,0,0.173,0.196,,,●
3659,藤生雄人,A2,全国,9,0.156,0.183,,,●
3660,長谷川親王,B1,当地,28,0.194,0.221,,●,●
3661,柳瀬興志,A2,当地,10,0.187,0.12,,●,
3662,大庭元明,B1,全国,0,0.158,0.167,,,
3663,木山和幸,B1,当地,18,0.16,0.175,,,
3664,鈴木賢一,B1,全国,6,0.134,0.214,,,●
3679,飯島昌弘,A2,全国,0,0.149,0.193,,,●
3680,森林太,B1,当地,17,0.259,0.19,,●,●
3681,山谷央,B1,全国,7,0.15,0.156,,,
3684,清水攻二,A2,全国,0,0.153,0.207,,,●
3685,荒井輝年,A2,全国,0,0.143,0.163,,,
3686,鳥居塚孝博,A2,全国,0,0.14,0.156,,,
3687,花田和明,B1,当地,10,0.176,0.18,,,
3690,河合三弘,B1,全国,8,0.192,0.18,,●,
3692,竹腰正樹,B1,全国,0,0.167,0.188,,,●
3696,白井友晴,B1,全国,9,0.177,0.171,,,
3699,富永正人,B1,全国,7,0.176,0.195,,,●
3701,大西隆洋,B1,当地,38,0.168,0.166,,,
3703,鳥飼眞,A2,全国,0,0.187,0.174,,●,
3704,本部めぐみ,B1,全国,9,0.218,0.205,,●,●
3708,岡部貴司,B1,全国,0,0.151,0.17,,,
3710,吉永泰弘,B1,当地,47,0.156,0.198,,,●
3711,江本真治,A2,当地,11,0.14,0.126,,,
3712,淺香文武,B1,全国,0,0.16,0.176,,,
3713,伊藤誠二,A1,当地,22,0.148,0.171,,,
3714,梶原正,B1,全国,9,0.155,0.164,,,
3715,倉尾大介,A2,全国,7,0.153,0.197,,,●
3716,石渡鉄兵,A1,全国,0,0.136,0.121,,,
3717,立間充宏,A2,当地,14,0.204,0.13,,●,
3718,伊達正利,B1,当地,14,0.15,0.18,,,
3719,辻栄蔵,A1,全国,7,0.151,0.151,,,
3721,守田俊介,A1,全国,0,0.128,0.126,●,,
3722,西村秀樹,B1,当地,11,0.165,0.242,,,●
3726,桂林寛,B1,全国,0,0.165,0.157,,,
3730,塩崎優司,B1,当地,16,0.146,0.189,,,●
3731,高濱芳久,B1,当地,24,0.216,0.185,,●,●
3736,岡本猛,B2,全国,0,,,,,
3737,上平真二,A1,全国,9,0.153,0.187,,,●
3740,大澤普司,A1,当地,18,0.14,0.159,,,
3741,松尾基成,B1,当地,10,0.142,0.158,,,
3742,宮地秀祈,B1,当地,25,0.208,0.177,,●,
3743,林美憲,A1,全国,7,0.14,0.164,,,
3744,徳増秀樹,A1,当地,12,0.13,0.133,●,,
3745,橋本年光,B1,全国,0,0.176,0.207,,,●
3746,岡瀬正人,A2,当地,22,0.17,0.179,,,
3747,國崎良春,A2,全国,0,0.167,0.154,,,
3748,小黒竜吾,B1,全国,6,0.161,0.162,,,
3752,宇土泰就,B1,全国,0,0.187,0.154,,●,
3757,畑和宏,A2,全国,8,0.157,0.164,,,
3761,山本光雄,B1,全国,0,0.177,0.168,,,
3769,佐竹恒彦,A2,全国,9,0.159,0.176,,,
3771,折下寛法,B1,当地,20,0.176,0.168,,,
3772,一柳和孝,B1,全国,0,0.162,0.151,,,
3773,津留浩一郎,B1,全国,6,0.146,0.171,,,
3775,泉啓文,B1,全国,0,0.165,0.194,,,●
3776,横井健太,B1,全国,6,0.199,0.199,,●,●
3777,樋口亮,A2,当地,19,0.159,0.239,,,●
3778,安達美帆,B1,全国,6,0.216,0.231,,●,●
3779,原田幸哉,A1,当地,10,0.062,0.12,●,,
3783,瓜生正義,A1,全国,0,0.159,0.147,,,
3784,中島友和,B1,全国,9,0.162,0.156,,,
3787,天野誠,B1,当地,15,0.169,0.201,,,●
3788,一宮稔弘,B2,全国,8,0.141,0.129,,,
3790,佐口達也,B1,全国,0,0.18,0.209,,,●
3792,田中豪,A1,全国,7,0.158,0.155,,,
3793,高橋真吾,B1,全国,3,0.145,0.166,,,
3796,長野道臣,B1,全国,0,0.183,0.171,,●,
3797,岩井繁,B1,全国,0,0.197,0.211,,●,●
3800,牧宏次,A2,全国,0,0.147,0.182,,,●
3801,五反田忍,B1,全国,1,0.164,0.168,,,
3804,中渡修作,B1,全国,7,0.161,0.17,,,
3805,高橋英之,B1,当地,11,0.12,0.184,●,,●
3807,岡部哲,B1,全国,6,0.156,0.18,,,
3808,秋田健太郎,B1,全国,6,0.165,0.17,,,
3809,吉田光,B1,当地,20,0.169,0.165,,,
3811,石田章央,A1,当地,13,0.175,0.162,,,
3812,山崎聖司,B1,全国,8,0.17,0.194,,,●
3813,佐藤大介,A1,全国,0,0.149,0.18,,,
3814,金子貴志,B1,全国,0,0.204,0.19,,●,●
3820,樫葉次郎,B1,全国,8,0.15,0.163,,,
3822,平尾崇典,A1,当地,12,0.123,0.128,●,,
3825,宮嵜隆太郎,B1,当地,15,0.098,0.129,●,,
3826,村田修次,A2,当地,23,0.146,0.15,,,
3827,今泉徹,B1,全国,7,0.176,0.171,,,
3828,明石正之,B1,全国,0,0.143,0.179,,,
3831,安藤裕貴,B1,全国,0,0.142,0.162,,,
3832,下田哲也,B2,当地,32,0.154,0.141,,,
3833,中辻博訓,A2,当地,21,0.144,0.2,,,●
3834,細川明人,B1,全国,9,0.185,0.199,,●,●
