jcd,date,race,band,points,cost,hit,ret,synth,fair_p,combo,payout,points_n50,cost_n50,hit_n50,ret_n50,fair_p_n50,rank_win
09,2025-10-26,4,anti_in,100,10000,1,6160,2.11,0.3548,3-4-5,6160,30,3000,1,6160,0.2461,22
09,2025-10-30,4,head1,20,2000,0,0,2.73,0.2747,3-2-1,20320,13,1300,0,0,0.2466,72
09,2025-10-30,4,head2,20,2000,0,0,2.73,0.275,3-2-1,20320,16,1600,0,0,0.2612,72
09,2025-10-30,4,head3,20,2000,1,20320,12.7,0.0591,3-2-1,20320,0,0,0,0,0.0,72
09,2025-10-30,4,head4,20,2000,0,0,2.84,0.2637,3-2-1,20320,15,1500,0,0,0.2436,72
09,2025-10-30,4,head5,20,2000,0,0,22.17,0.0338,3-2-1,20320,0,0,0,0,0.0,72
09,2025-10-30,4,head6,20,2000,0,0,7.92,0.0947,3-2-1,20320,6,600,0,0,0.0539,72
09,2025-10-30,4,anti_in,100,10000,1,20320,1.03,0.7264,3-2-1,20320,37,3700,0,0,0.5587,72
09,2025-10-31,4,head1,20,2000,0,0,2.63,0.2851,2-1-4,1490,15,1500,0,0,0.2655,2
09,2025-10-31,4,head2,20,2000,1,1490,2.04,0.3675,2-1-4,1490,18,1800,1,1490,0.3593,2
09,2025-10-31,4,head3,20,2000,0,0,15.91,0.0472,2-1-4,1490,1,100,0,0,0.0059,2
09,2025-10-31,4,head4,20,2000,0,0,3.73,0.201,2-1-4,1490,13,1300,0,0,0.1815,2
09,2025-10-31,4,head5,20,2000,0,0,19.16,0.0391,2-1-4,1490,0,0,0,0,0.0,2
09,2025-10-31,4,head6,20,2000,0,0,12.21,0.0614,2-1-4,1490,3,300,0,0,0.0254,2
09,2025-10-31,4,anti_in,100,10000,1,1490,1.05,0.7162,2-1-4,1490,35,3500,1,1490,0.5721,2
09,2025-11-01,4,head1,20,2000,0,0,2.07,0.3624,5-3-4,15560,19,1900,0,0,0.3568,59
09,2025-11-01,4,head2,20,2000,0,0,12.92,0.0581,5-3-4,15560,1,100,0,0,0.009,59
09,2025-11-01,4,head3,20,2000,0,0,7.86,0.0954,5-3-4,15560,5,500,0,0,0.0495,59
09,2025-11-01,4,head4,20,2000,0,0,2.26,0.3311,5-3-4,15560,18,1800,0,0,0.322,59
09,2025-11-01,4,head5,20,2000,1,15560,7.56,0.0992,5-3-4,15560,5,500,0,0,0.0535,59
09,2025-11-01,4,head6,20,2000,0,0,13.68,0.0548,5-3-4,15560,2,200,0,0,0.0135,59
09,2025-11-01,4,anti_in,100,10000,1,15560,1.17,0.6386,5-3-4,15560,31,3100,0,0,0.4475,59
09,2025-11-02,4,head1,20,2000,0,0,5.78,0.1297,2-1-5,6830,8,800,0,0,0.0973,34
09,2025-11-02,4,head2,20,2000,1,6830,1.72,0.4361,2-1-5,6830,20,2000,1,6830,0.4361,34
09,2025-11-02,4,head3,20,2000,0,0,15.37,0.0488,2-1-5,6830,1,100,0,0,0.0065,34
09,2025-11-02,4,head4,20,2000,0,0,3.84,0.1954,2-1-5,6830,12,1200,0,0,0.1687,34
09,2025-11-02,4,head5,20,2000,0,0,17.53,0.0428,2-1-5,6830,0,0,0,0,0.0,34
09,2025-11-02,4,head6,20,2000,0,0,5.05,0.1485,2-1-5,6830,9,900,0,0,0.1121,34
09,2025-11-02,4,anti_in,100,10000,1,6830,0.86,0.8715,2-1-5,6830,42,4200,1,6830,0.7234,34
09,2025-11-05,4,head1,20,2000,0,0,7.52,0.0997,4-3-6,4390,7,700,0,0,0.0568,12
09,2025-11-05,4,head2,20,2000,0,0,4.73,0.1587,4-3-6,4390,11,1100,0,0,0.1235,12
09,2025-11-05,4,head3,20,2000,0,0,7.59,0.0988,4-3-6,4390,6,600,0,0,0.0473,12
09,2025-11-05,4,head4,20,2000,1,4390,1.97,0.381,4-3-6,4390,15,1500,1,4390,0.3576,12
09,2025-11-05,4,head5,20,2000,0,0,21.58,0.0348,4-3-6,4390,0,0,0,0,0.0,12
09,2025-11-05,4,head6,20,2000,0,0,3.29,0.2281,4-3-6,4390,11,1100,0,0,0.1956,12
09,2025-11-05,4,anti_in,100,10000,1,4390,0.83,0.9013,4-3-6,4390,43,4300,1,4390,0.7241,12
09,2025-11-06,4,head1,12,1200,0,0,2.13,0.3522,2-6-4,11850,12,1200,0,0,0.3522,47
09,2025-11-06,4,head2,12,1200,1,11850,9.6,0.0781,2-6-4,11850,7,700,1,11850,0.0571,47
09,2025-11-06,4,head3,12,1200,0,0,4.1,0.1831,2-6-4,11850,9,900,0,0,0.168,47
09,2025-11-06,4,head4,12,1200,0,0,5.3,0.1416,2-6-4,11850,10,1000,0,0,0.1337,47
09,2025-11-06,4,head6,12,1200,0,0,3.04,0.2466,2-6-4,11850,12,1200,0,0,0.2466,47
09,2025-11-07,4,head1,20,2000,0,0,3.01,0.2494,2-5-4,6160,13,1300,0,0,0.2315,23
09,2025-11-07,4,head2,20,2000,1,6160,1.43,0.524,2-5-4,6160,20,2000,1,6160,0.524,23
09,2025-11-07,4,head3,20,2000,0,0,9.58,0.0783,2-5-4,6160,7,700,0,0,0.0501,23
09,2025-11-07,4,head4,20,2000,0,0,9.03,0.083,2-5-4,6160,6,600,0,0,0.0484,23
09,2025-11-07,4,head5,20,2000,0,0,49.06,0.0153,2-5-4,6160,0,0,0,0,0.0,23
09,2025-11-07,4,head6,20,2000,0,0,14.34,0.0523,2-5-4,6160,4,400,0,0,0.0242,23
09,2025-11-07,4,anti_in,100,10000,1,6160,1.0,0.7528,2-5-4,6160,37,3700,1,6160,0.6467,23
09,2025-11-08,4,head1,20,2000,1,620,1.33,0.5629,1-3-4,620,15,1500,1,620,0.5505,1
09,2025-11-08,4,head2,20,2000,0,0,11.82,0.0635,1-3-4,620,8,800,0,0,0.0448,1
09,2025-11-08,4,head3,20,2000,0,0,3.96,0.1892,1-3-4,620,13,1300,0,0,0.1745,1
