regno,選手名,総出走,攻め走,一着,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくりゼロ,まくり系ゼロ
4442,松竹大輔,216,184,51,22,11,11,7,0,0,,
3680,森林太,215,184,16,4,1,7,3,1,0,,
4039,村上功祐,225,184,27,15,3,3,3,3,0,,
4382,高山智至,209,184,13,6,3,0,2,2,0,●,
4486,野村誠,215,184,37,15,10,4,5,2,1,,
4665,加藤啓太,208,184,11,5,2,3,0,1,0,,
5150,坂本雄紀,229,184,60,25,5,16,6,7,1,,
5307,富永夏哉人,210,184,28,13,2,4,6,3,0,,
4734,安河内将,239,184,73,36,10,7,17,3,0,,
3987,後藤正宗,224,184,43,23,3,6,9,2,0,,
5185,加藤優弥,213,183,36,13,7,9,4,3,0,,
5345,牧村俊輝,197,183,7,4,0,1,0,1,1,,
4695,尾崎雄二,216,183,35,17,8,1,7,1,1,,
5031,渡辺空依,208,183,20,13,1,2,4,0,0,,
3635,石田政吾,218,183,28,17,4,2,3,2,0,,
4587,木田峰由季,231,183,60,27,4,7,17,4,1,,
5264,登みひ果,210,183,21,4,3,9,3,1,1,,
4273,佐藤旭,217,183,27,15,4,5,2,0,1,,
4918,川島拓郎,211,183,30,16,5,1,5,3,0,,
4524,深谷知博,231,183,53,37,7,6,1,2,0,,
3647,伊藤雄二,211,183,8,5,2,1,0,0,0,,
5068,前田滉,240,183,85,44,8,15,12,6,0,,
4374,永田義紘,210,183,21,10,2,5,2,2,0,,
5354,渡邊雄斗,190,183,11,2,3,0,3,3,0,●,
5389,恵良琴美,183,183,1,0,1,0,0,0,0,●,●
4470,平田健之佑,229,183,47,27,8,7,3,2,0,,
4892,柴田直哉,210,183,29,10,5,9,1,4,0,,
4506,稗田聖也,228,183,61,29,11,10,6,5,0,,
4928,栗城匠,230,183,72,30,9,14,17,2,0,,
5092,篠原晟弥,228,183,60,30,9,7,10,4,0,,
5085,中村栄治,218,183,31,10,4,5,6,6,0,,
4180,上野秀和,222,183,40,20,7,5,6,2,0,,
4572,渡部悟,228,183,38,25,2,4,5,2,0,,
4383,竹田吉行,228,182,34,18,2,9,3,2,0,,
4566,塩田北斗,225,182,51,32,6,4,8,1,0,,
3882,新田智彰,211,182,23,11,4,3,4,1,0,,
4427,秦英悟,233,182,78,40,6,8,16,8,0,,
4945,上村宏太,204,182,14,2,3,2,6,1,0,,
3439,大平誉史明,231,182,54,26,9,6,8,5,0,,
5275,松田淳平,227,182,71,29,12,10,12,6,2,,
3581,加木郁,217,182,24,11,2,1,2,7,1,,
4188,久田敏之,236,182,88,42,11,15,15,5,0,,
5032,谷口知優,215,182,32,15,8,3,5,1,0,,
3463,乙津康志,218,182,20,8,5,1,5,1,0,,
4012,中村有裕,221,182,55,24,6,14,9,2,0,,
4014,片岡恵里,232,182,46,30,1,7,3,4,1,,
4754,松尾充,225,182,56,28,6,9,8,4,1,,
4410,井上大輔,214,182,28,13,3,9,3,0,0,,
5311,小林京平,211,182,38,14,6,10,3,4,1,,
5139,大場恒季,223,182,62,27,17,2,12,4,0,,
5256,中山翔太,237,182,73,45,8,6,10,4,0,,
4117,廣中智紗衣,229,182,30,16,2,7,1,4,0,,
4450,平高奈菜,224,181,52,24,9,4,9,5,1,,
3814,金子貴志,210,181,18,9,3,1,4,1,0,,
4124,池田雄一,228,181,54,28,9,3,7,7,0,,
5110,杉山喜一,214,181,30,12,4,3,6,4,1,,
4505,島田賢人,225,181,62,32,4,11,6,9,0,,
4709,岡村将也,222,181,31,15,3,2,4,7,0,,
4552,杉山勝匡,213,181,40,17,4,10,7,2,0,,
3584,佐々木英樹,215,181,21,9,5,4,0,3,0,,
4365,盛本真輔,223,181,49,23,6,17,1,1,1,,
4530,小野生奈,237,181,72,41,6,14,5,6,0,,
4693,松下誉士,209,181,15,5,3,2,2,2,1,,
4497,桑原悠,239,181,79,44,8,11,12,2,2,,
5270,小玉啓太,205,181,19,6,0,9,4,0,0,,
4054,福嶋智之,215,180,25,17,3,2,2,1,0,,
4202,浮田圭浩,209,180,18,11,2,0,3,2,0,●,
4643,近江翔吾,228,180,61,38,6,9,6,2,0,,
