登番,名前,級,全国3/4進入,全国まくり率,丸亀3/4進入,丸亀まくり率,採用値,絞りまくり型
5146,野田彩加,A2,70,0.171,7,,0.171,●
4195,前川守嗣,B1,63,0.079,0,,0.079,
3659,藤生雄人,A2,62,0.065,5,,0.065,
4796,春園功太,A1,68,0.176,1,,0.176,●
4649,和田操拓,B1,99,0.162,0,,0.162,●
4300,加藤綾,B1,71,0.014,4,,0.014,
5130,上野拓馬,B1,84,0.024,0,,0.024,
5126,山下大輝,A1,87,0.31,0,,0.31,●
4809,外崎悟,A1,67,0.03,3,,0.03,
4660,宇田川信一,B1,57,0.053,0,,0.053,
4854,大橋由珠,B2,44,0.023,2,,0.023,
5044,渡邉健,B1,76,0.158,10,,0.158,●
3822,平尾崇典,A1,70,0.171,2,,0.171,●
3746,岡瀬正人,A2,94,0.011,8,,0.011,
4343,村岡賢,B1,70,0.014,0,,0.014,
5375,庄島潤成,B1,28,0.0,0,,0.0,
4732,堀本和也,A2,94,0.085,1,,0.085,
4648,木村亮太,B1,61,0.049,0,,0.049,
4432,黄金井力良,B1,77,0.065,0,,0.065,
5136,濱野斗馬,A1,89,0.146,15,0.2,0.2,●
4327,加藤翔,B1,85,0.059,0,,0.059,
4779,伊倉光,B1,70,0.043,5,,0.043,
4092,岡部大輔,B1,61,0.066,4,,0.066,
4297,山田哲也,A1,94,0.213,2,,0.213,●
4976,金山立樹,B1,59,0.085,0,,0.085,
5028,原田才一郎,A1,75,0.187,4,,0.187,●
4564,山本景士郎,B1,81,0.012,4,,0.012,
5199,垂水悠,B1,59,0.153,2,,0.153,●
4121,富永修一,A2,59,0.085,6,,0.085,
4531,武富智亮,A2,79,0.114,0,,0.114,
5188,武井莉里佳,A2,88,0.148,6,,0.148,●
4959,井上忠政,A1,88,0.125,3,,0.125,●
5273,山下拓巳,B1,79,0.076,5,,0.076,
4305,金子拓矢,A1,61,0.18,2,,0.18,●
5186,遠藤圭吾,B1,64,0.031,5,,0.031,
4211,村田敦,B1,64,0.031,3,,0.031,
4054,福嶋智之,B1,75,0.04,4,,0.04,
4023,柴田友和,B1,59,0.051,0,,0.051,
4345,西舘健,A2,80,0.075,4,,0.075,
4874,池田奈津美,B1,49,0.041,6,,0.041,
3813,佐藤大介,A1,77,0.143,0,,0.143,●
4390,松本弓雄,B1,72,0.042,4,,0.042,
4503,上野真之介,A1,87,0.138,3,,0.138,●
4398,船岡洋一郎,A1,89,0.157,13,,0.157,●
4656,大崎翔,A2,69,0.072,7,,0.072,
4523,中村辰也,A2,66,0.03,4,,0.03,
4395,下河雅史,B1,84,0.071,0,,0.071,
4351,里岡右貴,A1,93,0.226,3,,0.226,●
4301,関裕也,B1,68,0.029,2,,0.029,
4330,奈須啓太,A2,84,0.167,1,,0.167,●
5384,八戸琉楓,B2,32,0.0,0,,0.0,
5352,西岡蒼志,B1,68,0.147,8,,0.147,●
4231,鈴木裕隆,B1,89,0.112,0,,0.112,
5242,高山弘斗,B1,65,0.0,0,,0.0,
5166,仲道大輔,A2,76,0.158,1,,0.158,●
4498,宮本夏樹,B2,42,0.214,2,,0.214,●
4950,高岡竜也,A1,76,0.184,3,,0.184,●
3212,亀本勇樹,B1,84,0.083,7,,0.083,
5279,石渡翔一郎,B1,65,0.092,2,,0.092,
4654,篠田優也,A1,82,0.085,3,,0.085,
5141,大澤風葵,A1,70,0.229,5,,0.229,●
5333,山下智己,B2,56,0.054,0,,0.054,
3976,内田圭,B1,79,0.063,0,,0.063,
5157,市川健太,B1,73,0.027,5,,0.027,
