regno,選手名,slow_st,slow_src,slow_flag,dash_st,dash_src,dash_flag
3327,野長瀬正孝,0.153,全国,,0.189,全国,遅れ
3333,丸尾義孝,0.138,全国,,0.157,全国,
3334,角ひとみ,0.195,全国,遅れ,0.201,全国,遅れ
3339,泉具巳,0.174,全国,,0.157,全国,
3340,池田雷太,0.183,全国,遅れ,0.194,全国,遅れ
3346,宮本裕之,0.164,全国,,0.173,全国,
3349,吉田一郎,0.157,全国,,0.156,全国,
3350,藤本佳史,0.142,当地,,0.187,当地,遅れ
3352,小川晃司,,全国,,0.168,全国,
3353,前田光昭,0.189,全国,遅れ,0.145,全国,
3355,橋谷田佳織,0.256,全国,遅れ,0.259,全国,遅れ
3357,福島陽子,0.226,当地,遅れ,0.209,当地,遅れ
3361,岡部浩,0.162,全国,,0.192,全国,遅れ
3362,間嶋仁志,0.189,全国,遅れ,0.193,全国,遅れ
3370,坪内実,0.178,全国,,0.189,全国,遅れ
3372,加藤雅之,0.204,全国,遅れ,0.215,全国,遅れ
3377,塚田修二,0.217,全国,遅れ,0.188,全国,遅れ
3381,滝沢芳行,0.153,全国,,0.136,全国,
3385,渡邉睦広,0.153,全国,,0.158,全国,
3388,今垣光太郎,0.151,全国,,0.155,全国,
3392,小森信雄,0.189,全国,遅れ,0.209,全国,遅れ
3401,上田隆章,0.196,全国,遅れ,0.204,当地,遅れ
3406,中里英夫,0.158,全国,,0.19,全国,遅れ
3411,池上隆行,0.147,全国,,0.169,全国,
3412,鈴木博,0.158,全国,,0.159,全国,
3414,加瀬智宏,0.17,全国,,0.171,全国,
3415,松井繁,0.138,全国,,0.141,全国,
3419,栗原謙治,0.185,全国,遅れ,0.237,全国,遅れ
3422,服部幸男,0.148,全国,,0.15,全国,
3430,角浜修,0.168,全国,,0.173,全国,
3432,宮迫暢彦,0.15,全国,,0.196,全国,遅れ
3434,松尾宣邦,0.178,全国,,0.172,全国,
3435,寺田千恵,0.16,全国,,0.15,全国,
3436,柏野幸二,0.116,全国,巧者,0.141,全国,
3439,大平誉史明,0.157,全国,,0.157,全国,
3441,土屋太朗,0.184,全国,遅れ,0.191,全国,遅れ
3442,宮武英司,0.159,全国,,0.16,全国,
3444,香月大介,0.169,全国,,0.172,全国,
3445,加藤高史,0.186,全国,遅れ,0.184,全国,遅れ
3448,高山秀雄,0.184,全国,遅れ,0.194,全国,遅れ
3454,井川大作,0.15,全国,,0.155,全国,
3455,谷本幸司,0.17,全国,,0.174,全国,
3458,東健介,0.146,全国,,0.173,全国,
3459,中野和裕,0.163,全国,,0.171,全国,
3461,渡邊哲也,0.176,全国,,0.221,全国,遅れ
3462,竹上真司,0.176,全国,,0.183,全国,遅れ
3463,乙津康志,0.177,全国,,0.198,全国,遅れ
3467,森弘行,0.201,全国,遅れ,0.16,全国,
